class	supervoxel_id	root_id	group	side	type	systematic_type	synonyms	comment	long_tract	soma_location	soma_division	neuropil	manc_match_id	manc_group	confidence_manc_match_1_5	subclass_MANC
DN	73256337261463863	648518346480662237	73537812171140749	L	DNg04	DNut012			MTD-II	g	brain	ut	18339	14340	5	ut
DN	73537812171190730	648518346500565683	73537812171140749	R	DNg04	DNut012			MTD-II	g	brain	ut	14340	14340	5	ut
DN	73256337261514049	648518346514245319	73537812171140749	L	DNg04	DNut012			MTD-II	g	brain	ut	15451	14340	5	ut
DN	73256337261538850	648518346507038024	73256337261284381	L	DNg05	DNut050	knees		MTD-II		brain	ut	28372	21454	4	ut
DN	73537812171110474	648518346495852390	73256337261284381	R	DNg05	DNut050	knees		MTD-II		brain	ut	21454	21454	5	ut
DN	73537812103772985	648518346510931842	73537812103772985	R	DNg05	DNut013	knees		MTD-II	g	brain	ut	28700	28527	5	ut
DN	73256337194271778	648518346490497277	73537812103772985	L	DNg05	DNut013	knees		MTD-II	g	brain	xn	28527	28527	5	ut
DN	73537812171083972	648518346472925284	73537812103772985	R	DNg05	DNut013	knees		MTD-II	g	brain	xn	30212	28527	5	ut
DN	73256337261461077	648518346531141146	73537812103772985	L	DNg05	DNut013	knees		MTD-II	g	brain	ut	35789	28527	5	ut
DN	73256337261477449	648518346482749605	73256337261477449	L	DNg06	DNut014			MTD-II	g	brain	ut	33000	29021	4	ut
DN	73256337261498684	648518346485760708	73256337261477449	L	DNg06	DNut014			MTD-II	g	brain	ut	29831	29021	4	ut
DN	73537812170873795	648518346488844522	73256337261477449	R	DNg06	DNut014			MTD-II	g	brain	ut	29021	29021	4	ut
DN	73537812171086467	648518346491896850	73256337261477449	R	DNg06	DNut014			MTD-II	g	brain	ut	30304	29021	4	ut
DN	73256337261490825	648518346481509279	73256337261490825	L	DNg06	DNut014			MTD-II	g	brain	ut	31006	29021	4	ut
DN	73537812103834310	648518346476888520	73256337261490825	R	DNg06	DNut014			MTD-II	g	brain	ut	29524	29021	4	ut
DN	73537812171095531	648518346517612904	73537812171095531	R	DNg06	DNxn100			MTD-II		brain	xn	27622	22002	5	xn
DN	73256337194362747	648518346483527087	73537812171095531	L	DNg06	DNxn100			MTD-II		brain	xn	24131	22002	5	xn
