xyz	x	y	z	supervoxel_id	root_id	root_side	soma_side	class	type	long_tract
(36277, 75200, 1998)	36277	75200	1998	73256337597094057	648518346514174489	L	L	AN	AN09A007	
(36398, 75200, 2001)	36398	75200	2001	73256337597099549	648518346497029348	L	L	AN	AN09A007	
(36621, 75200, 2004)	36621	75200	2004	73256337597114022	648518346491271544	L		DN	DNxn184	VTV
(36926, 75200, 2006)	36926	75200	2006	73326706341294828	648518346514072363	L		DN	DNxl096	VTV
(36121, 75200, 1993)	36121	75200	1993	73256337597082861	648518346510126630	L	R	AN	AN01A055	
(35992, 75200, 1994)	35992	75200	1994	73256337597092811	648518346498121114	L	L	AN	AN01A055	
(35921, 75200, 1985)	35921	75200	1985	73256337597070320	648518346509354362	L	L	AN	AN12B011	
(35836, 75200, 1979)	35836	75200	1979	73256337597065863	648518346480435259	L	R	AN	AN09B003	
(35701, 75200, 1971)	35701	75200	1971	73256337597051403	648518346502094921	L	R	AN	AN09B019	
(35503, 75200, 1972)	35503	75200	1972	73256337597061346	648518346500414012	L	R	AN	AN09B034	
(35566, 75200, 1955)	35566	75200	1955	73256337597028414	648518346483414436	L	R	AN	AN09B036	
