class	bodyid	group	side	type	systematic_type	synonyms	comment	long_tract	soma_location	soma_division	neuropil	predicted_nt	predicted_nt_prob	FANC_supervoxel_id	FANC_match	FANC_group	confidence_fanc_match_1_5
DN	14623	14623	R	DNg87	DNxl043			VTV	g	brain	xl	ACH	0.9717248613	73397075085185766	648518346464943733	73326706341006065	5
DN	12743	12743	L	DNg88	DNxl044			MTD-I	g	brain	xl	ACH	0.9177490364	73115599840216019	648518346485793988	73608180982594822	5
DN	13900	12743	R	DNg88	DNxl044			MTD-I	g	brain	xl	ACH	0.8801171764	73608180982594822	648518346499274075	73608180982594822	5
DN	20194	20194	R	DNg89	DNnt006			none	g	brain	nt	ACH	0.9276294821	73185968584558982	648518346466919406	73608181049774612	5
DN	21284	20194	L	DNg89	DNnt006			none	g	brain	nt	ACH	0.9259876419	73608181049774612	648518346491685999	73608181049774612	5
DN	13734	13734	L	DNg90	DNxl045			DMT	g	brain	xl	GABA	0.9747961146	73185968651699954	648518346507377529	73608181183859390	5
DN	14935	13734	R	DNg90	DNxl045			DMT	g	brain	xl	GABA	0.922589878	73608181183859390	648518346482983102	73608181183859390	5
DN	13556	12792	L	DNg91	DNut031			ITD	g	brain	ut	ACH	0.9304901979	73185968584194992	648518346478454900	73608180982405131	5
DN	12792	12792	R	DNg91	DNut031			ITD	g	brain	ut	ACH	0.907997944	73608180982405131	648518346501160333	73608180982405131	5
DN	34006	32001	L	DNg92	DNut032			MTD-II	g	brain	ut	ACH	0.936921476	73256337261447532	648518346486485473	73256337261447532	4
DN	32001	32001	L	DNg92	DNut032			MTD-II	g	brain	ut	ACH	0.9257541122	73256337261422016	648518346489661235	73256337261422016	4
DN	32360	32001	R	DNg92	DNut032			MTD-II	g	brain	ut	ACH	0.9386930459	73537812170915117	648518346491289274	73256337261447532	4
DN	34426	32001	L	DNg92	DNut032			MTD-II	g	brain	ut	ACH	0.9191204108	73256337194229403	648518346474343362	73537812103800458	4
DN	32950	32001	R	DNg92	DNut032			MTD-II	g	brain	ut	ACH	0.9259446522	73537812170867721	648518346488660573	73256337194305331	4
DN	32169	32001	R	DNg92	DNut032			MTD-II	g	brain	ut	ACH	0.946151511	73537812103800458	648518346486585497	73537812103800458	4
DN	32498	32001	R	DNg92	DNut032			MTD-II	g	brain	ut	ACH	0.8938002026	73537812103789829	648518346493971447	73256337261422016	4
DN	32656	32001	R	DNg92	DNut032			MTD-II	g	brain	ut	ACH	0.9534019792	73537812103789829	648518346493971447	73256337261422016	4
DN	35992	32001	L	DNg92	DNut032			MTD-II	g	brain	ut	ACH	0.9180527485	73256337194305331	648518346493614840	73256337194305331	4
DN	10420	10399	L	DNg93	DNxl046	oval		DLT	g	brain	xl	GABA	0.9352711314	73115599974379051	648518346499877587	73115599974379051	5
DN	10399	10399	R	DNg93	DNxl046	oval		DLT	g	brain	xl	GABA	0.9222294464	73608181116785725	648518346484466691	73115599974379051	5
DN	22372	20253	R	DNg94	DNxn069			ITD	g	brain	xn	ACH	0.7233870682	73608181116866134	648518346489545945	73608181116866134	5
DN	20253	20253	L	DNg94	DNxn069			ITD	g	brain	xn	ACH	0.7241526167	73185968718614904	648518346493915915	73608181116866134	5
DN	15131	15074	R	DNg95	DNxl059			DMT	g	brain	xl	ACH	0.9396727823	73608181183875119	648518346466654318	73608181183875119	5
DN	15074	15074	L	DNg95	DNxl059			DMT	g	brain	xl	ACH	0.9334366204	73115599840252425	648518346486490337	73608181183875119	5
DN	10995	10855	L	DNg96	DNxl064			MTD-I	g	brain	xl	GLUT	0.9067361155	73326706005815962	648518346490241884	73326706005815962	5
DN	10855	10855	R	DNg96	DNxl064			MTD-I	g	brain	xl	GLUT	0.9478111425	73467443426890583	648518346479175612	73326706005815962	5
DN	10656	10656	L	DNg97	DNxl054			DLT	g	brain	xl	ACH	0.9372117086	73115599974473266	648518346504806022	73115599974473266	5
DN	11070	10656	R	DNg97	DNxl054			DLT	g	brain	xl	ACH	0.9039211285	73678549860564381	648518346506426914	73115599974473266	5
DN	11959	10336	L	DNg98	DNxn096	DSOG1		VTV	g	brain	xn	GABA	0.9039970343	73326706341294779	648518346500461116	73397075085508047	5
DN	10336	10336	R	DNg98	DNxn096	DSOG1		VTV	g	brain	xn	GABA	0.8861862062	73397075085508047	648518346495037618	73397075085508047	5
DN	10937	10937	L	DNg99	DNxn097			MTD-I	g	brain	xn	unk	0.5977152435	73326706005760128	648518346494254583	73537812238306208	5
DN	11443	10937	R	DNg99	DNxn097			MTD-I	g	brain	xn	unk	0.6259813632	73537812238306208	648518346515455226	73537812238306208	5
DN	32010	29904	L	DNht001	DNht001			ITD		brain	ht	ACH	0.8670642873	73256337261727147	648518346472922724	73256337261722642	5
DN	30332	29904	R	DNht001	DNht001			ITD		brain	ht	ACH	0.9507009131	73537812238330801	648518346487390378	73256337261722642	5
DN	31112	29904	R	DNht001	DNht001			ITD		brain	ht	ACH	0.829174854	73537812238341060	648518346515106631	73256337261722642	5
DN	31497	29904	R	DNht001	DNht001			ITD		brain	ht	ACH	0.9232984288	73537812238286184	648518346509026170	73256337261722642	5
DN	32106	29904	R	DNht001	DNht001			ITD		brain	ht	ACH	0.8293386803	73537812305479635	648518346509395331	73256337261722642	5
DN	32303	29904	R	DNht001	DNht001			ITD		brain	ht	ACH	0.9299261411	73537812305479635	648518346509395331	73256337261722642	5
DN	34094	29904	R	DNht001	DNht001			ITD		brain	ht	ACH	0.8898537258	73537812305469662	648518346488628237	73256337261722642	5
DN	44921	29904	R	DNht001	DNht001			ITD		brain	ht	ACH	0.8175364012	73537812305439052	648518346488594701	73256337261722642	5
