class	cell_id	supervoxel_id	root_id	group	side	type	systematic_type	synonyms	comment	soma_division	neuropil	hemilineage	manc_match_id	manc_group	manc_type	fanc_type	xyz
AN	12585	73397074884232191	648518346503229563	648518346492559547	R	AN27X009	AN27X009			T1	ut	27X	12059	12016	AN27X009		(39945, 75200, 1646)
AN	12499	73185968449962891	648518346465031029	648518346465031029	R	AN27X011	AN27X011			T1	xn	27X	11013	11013	AN27X011		(34667, 75200, 1286)
AN	12510	73537812171017178	648518346492300159	648518346465031029	L	AN27X011	AN27X011			T1	xn	27X	11392	11013	AN27X011		(44339, 75200, 1183)
AN	12475	73397074951324319	648518346466040880	648518346466040880	R	AN27X013	AN27X013			T1	XA	27X	11566	11566	AN27X013		(39326, 75200, 1764)
AN	12990	73397074682677794	648518346491932783	648518346466040880	L	AN27X013	AN27X013			T2	XA	27X	11407	11210	AN27X013		(40387, 75200, 1266)
AN	12553	73397074816890732	648518346494168633	648518346466040880	L	AN27X013	AN27X013			T1	XA	27X	12022	11566	AN27X013		(40331, 75200, 1429)
AN	13001	73397074749806388	648518346498450993	648518346466040880	R	AN27X013	AN27X013			T2	XA	27X	11210	11210	AN27X013		(40587, 75200, 1308)
AN	12539	73397074817029140	648518346472632011	648518346472632011	R	AN27X015	AN27X015			T1	xn	27X	12144	12144	AN27X015		(40432, 75200, 1479)
AN	12519	73397074817018404	648518346531527706	648518346472632011	L	AN27X015	AN27X015			T1	xn	27X	13524	12144	AN27X015		(39573, 75200, 1479)
AN	12575	73397074816848555	648518346499571547	648518346499571547	R	AN27X016	AN27X016			T1	xn	27X	12996	11962	AN27X016		(40929, 75200, 1435)
AN	12581	73397074817093794	648518346501149974	648518346499571547	L	AN27X016	AN27X016			T1	xn	27X	11962	11962	AN27X016		(38987, 75200, 1504)
AN	13470	73397074816967311	648518346473228644	648518346473228644	L	AN27X017	AN27X017			T3	xn	27X	12492	12492	AN27X017		(40350, 75200, 1452)
AN	12515	73115599840197578	648518346476709494	648518346473228644	R	AN27X017	AN27X017			T1	it	27X	20830	18254	AN27X017		(32579, 75200, 1493)
AN	13461	73397074817064304	648518346493344796	648518346473228644	R	AN27X017	AN27X017			T3	xn	27X	13272	12492	AN27X017		(40546, 75202, 1493)
AN	12968	73115599907408433	648518346504143712	648518346473228644	R	AN27X017	AN27X017			T2	xn	27X	13643	13643	AN27X017		(30749, 75200, 1601)
AN	13412	73115599907335071	648518346510122022	648518346473228644	R	AN27X017	AN27X017			T3	xn	27X	17954	15717	AN27X017		(30826, 75200, 1576)
AN	12975	73678549793559976	648518346512141503	648518346473228644	L	AN27X017	AN27X017			T2	xn	27X	15894	13643	AN27X017		(47900, 75200, 1445)
AN	13484	73678549793610160	648518346517412645	648518346473228644	L	AN27X017	AN27X017			T3	xn	27X	15717	15717	AN27X017		(47718, 75200, 1468)
AN	12529	73608180982215612	648518346477830551	648518346473228644	L	AN27X017	AN27X017			T1	it	27X	18254	18254	AN27X017		(46720, 75200, 1301)
AN	12609	73678549726432818	648518346477826711	648518346477826711	L	AN27X018	AN27X018			T1	it	27X	17737	15572	AN27X018		(47279, 75200, 1400)
AN	12532	73115599840343444	648518346518584918	648518346477826711	R	AN27X018	AN27X018			T1	it	27X	15572	15572	AN27X018		(31648, 75200, 1541)
AN	12720	73608181183778515	648518346484795213	648518346484795213	L	ANXXX002	ANXXX002			T1	xn	TBD	10102	10052	ANXXX002		(46689, 75200, 1724)
AN	12705	73115599907520651	648518346504729203	648518346484795213	R	ANXXX002	ANXXX002			T1	xn	TBD	10052	10052	ANXXX002		(32019, 75200, 1666)
AN	12702	73326706274124171	648518346476025058	648518346476008418	R	ANXXX005	ANXXX005			T1	xl	TBD	10311	12749	ANXXX005		(37454, 75200, 1833)
AN	12680	73467443762517564	648518346476008418	648518346476008418	L	ANXXX005	ANXXX005			T1	xl	TBD	12749	12749	ANXXX005		(41450, 75200, 1841)
AN	12288	73608181183940089	648518346492117615	648518346492117615	L	ANXXX006	ANXXX006			T1	fl	TBD	10769	10557	ANXXX006		(45926, 75200, 1780)
AN	12359	73185968718431643	648518346511333250	648518346492117615	R	ANXXX006	ANXXX006			T1	fl	TBD	10557	10557	ANXXX006		(33964, 75200, 1682)
AN	13598	73467443762614560	648518346477598684	648518346477598684	L	ANXXX007	ANXXX007			A4	xl	TBD	10234	10140	ANXXX007		(42039, 75200, 1886)
AN	13569	73256337529901959	648518346490873773	648518346477598684	R	ANXXX007	ANXXX007			A4	xl	TBD	10140	10140	ANXXX007		(35868, 75200, 1819)
